j,V
-0.49887172808274527, 1.2354723433156432
-0.49171229687117135, 1.2272383855614521
-0.48800839017403375, 1.223321624502088
-0.4835701521957223, 1.219609631665403
-0.4790495577741949, 1.2155882112922247
-0.47429708439058427, 1.21183913265521
-0.4690506681328175, 1.2081601302544014
-0.46385623756433936, 1.2044811278535927
-0.4586620237671206, 1.200609415803218
-0.4534678296763801, 1.1967201846937916
-0.4480135566533623, 1.1929647354898492
-0.44229912587215514, 1.1894131444275966
-0.43658462343102755, 1.185925259034622
-0.43087030013970073, 1.1822781094684525
-0.42515588727347353, 1.1787105919888805
-0.4194414027473259, 1.1752067801785864
-0.41372682864627763, 1.1717826004548901
-0.4080122366302492, 1.168374347148513
-0.4022975550393204, 1.165045725928734
-0.39658289136337155, 1.161701178291635
-0.39086829934734335, 1.158292924985258
-0.3851535281815137, 1.1550439358520765
-0.3794385957808635, 1.1519382844747703
-0.3737237529551136, 1.1487530010108669
-0.3680091967690453, 1.1453128948698508
-0.3622946584979574, 1.1418568623115155
-0.3565801381418494, 1.1383849033358604
-0.3508656894456621, 1.1348492386909275
-0.34515111534461385, 1.131425058967231
-0.3394366308184662, 1.127921247156937
-0.3337220388024378, 1.1245129938505602
-0.32800746470138953, 1.1210888141268638
-0.32229267562057995, 1.1178557514110015
-0.31657799402965114, 1.1145271301912223
-0.3108632407788019, 1.1112622146407212
-0.3051484516979923, 1.1080291519248588
-0.29943351929734185, 1.1049235005475528
-0.2937177628076062, 1.1025504643669446
-0.28800189882799, 1.1002729866902534
-0.2822863394030355, 1.0977247599191307
-0.2765708337230215, 1.0951287538960492
-0.2708554892778283, 1.0923894101170921
-0.2651403598123967, 1.0894589493303006
-0.2594248003874422, 1.0869107225591779
-0.25370877517300516, 1.0847765826383624
-0.2479930186832695, 1.0824035464577542
-0.24227762049313606, 1.0797119819307555
-0.23656202523822167, 1.0771956079942717
-0.23084596419382386, 1.0750933209080953
-0.22512997480934693, 1.0729273281526408
-0.21941461244917382, 1.0702039107910033
-0.2136992859189608, 1.0674486405947265
-0.2079836010891456, 1.0650118987448403
-0.20226770127956928, 1.0627662739027883
-0.19655196270481357, 1.0603773113048605
-0.19083629578997874, 1.0579246430376548
-0.18512052138526314, 1.055567533274366
-0.1794044782558455, 1.05344931977087
-0.17368850678634873, 1.0512674005980962
-0.16797275029661307, 1.048894364417488
-0.16225692214695697, 1.0465850339061578
-0.15654100442240027, 1.0443553354814252
-0.15082510461282395, 1.0421097106393733
-0.1451091152283468, 1.0399437178839188
-0.1393931079288897, 1.0377936515457837
-0.1336771364593925, 1.0356117323730099
-0.1279610933299753, 1.033493518869514
-0.12224510394549815, 1.0313275261140595
-0.11652915039098133, 1.0291296805239658
-0.1108131610065044, 1.0269636877685115
-0.10509717162202725, 1.024797695013057
-0.09938114640759, 1.0226635550922416
-0.09366510327817257, 1.0205453415887455
-0.08758840403759383, 1.0190984878307185
-0.08235236248261724, 1.0168614387518387
-0.07746866665084307, 1.0154159292106582
-0.07254500973880318, 1.0130991726912524
-0.06749053643006842, 1.011829567799015
-0.06267744764838956, 1.009671342664639
-0.057693664437318715, 1.0079121871572223
-0.052213261306420566, 1.0056612732796748
-0.04593169881064574, 1.0035081830613286
-0.04066076165134236, 1.0018217145073427
-0.03540239557492986, 1.0006104636277895
-0.031367910977669444, 0.9987868784352816
-0.02410632463748752, 0.9958491563323586
-0.016271900712783616, 0.9931487185157106
-0.011498062802077103, 0.9925345209160237
-0.005322126325850718, 0.991479629980625
